Vertex ID,DoF ID,Coordinate
564,707,[255.97746277 341.13037109  45.00778198]
565,864,[256.9831543  340.46176147  47.20175934]
566,863,[258.10418701 340.29980469  46.19642639]
567,1112,[260.92532349 358.49468994  53.95841599]
568,1111,[260.64837646 358.17562866  52.34544373]
569,1113,[260.03909302 359.7585144   53.33565521]
570,1259,[243.81182861 354.4303894   65.36470032]
571,1260,[245.64332581 356.51864624  65.98578644]
572,1689,[260.71746826 356.03210449  64.34217072]
573,1690,[261.76321411 354.51800537  64.57549286]
574,1691,[261.86465454 355.49737549  63.11728668]
575,1584,[260.12854004 354.32397461  63.26993561]
576,1223,[248.10443115 348.53646851  65.30099487]
577,345,[240.06390381 350.61312866  57.29580688]
578,591,[239.29669189 348.51312256  57.4879837 ]
579,346,[238.96185303 349.91415405  55.26930237]
580,592,[240.65023804 349.18502808  57.13254547]
581,115,[239.46534729 351.42980957  51.35929108]
582,114,[238.67494202 349.96588135  51.49926758]
583,2049,[238.15653992 352.08203125  50.49481583]
584,217,[238.05569458 351.36248779  52.03149414]
585,400,[257.03030396 351.25970459  48.01800537]
586,236,[254.99717712 350.08261108  49.88324738]
587,676,[258.98339844 346.89941406  45.36177826]
588,675,[260.29214478 348.07061768  46.1693573 ]
589,409,[258.30728149 348.85739136  45.13233185]
590,410,[257.37805176 347.66259766  47.13983917]
591,1873,[255.20608521 342.00299072  70.74330902]
592,1861,[253.70565796 341.98062134  70.52341461]
593,1860,[255.1892395  344.23565674  69.60011292]
594,1874,[256.14297485 342.92935181  69.58818817]
595,1697,[259.31451416 350.03338623  63.88236618]
596,1696,[258.26782227 352.80148315  63.97811127]
597,1574,[261.29013062 358.24090576  59.14216614]
598,914,[237.3354187  347.95376587  58.59539795]
599,601,[238.33522034 350.13659668  57.98566818]
600,414,[254.60340881 348.70458984  51.71859741]
601,237,[253.40423584 349.43560791  50.40494919]
602,238,[254.04711914 351.1578064   51.10836792]
603,976,[243.43331909 346.21682739  61.16574478]
604,156,[250.61706543 349.90768433  48.75714874]
605,83,[248.95106506 349.26922607  48.37192535]
606,157,[249.50798035 349.26089478  50.30145264]
607,158,[249.27781677 351.00033569  49.55880356]
608,1679,[254.94926453 358.88632202  62.83116913]
609,1809,[255.54182434 358.60864258  64.42340851]
610,1454,[250.52684021 344.87393188  65.5272522 ]
611,1453,[252.89500427 346.53048706  65.68869019]
612,1291,[251.70736694 345.86218262  64.01839447]
613,1455,[251.32443237 347.01748657  65.55994415]
614,1681,[257.87637329 361.47332764  61.7435379 ]
615,1682,[257.95706177 360.54281616  62.90431595]
616,1570,[256.36300659 359.7868042   61.21852875]
617,1023,[246.06983948 352.35943604  64.06933594]
618,1024,[247.3853302  350.05685425  63.93538666]
619,826,[245.40893555 351.37365723  62.56201935]
620,1025,[247.61257935 351.78848267  62.71783066]
621,514,[248.95068359 341.46517944  52.94486618]
622,515,[250.46220398 342.71499634  53.01943207]
623,513,[248.54545593 342.99868774  54.10793304]
624,608,[253.25897217 349.63793945  54.83477783]
625,383,[254.40863037 349.24597168  53.460289  ]
626,384,[253.12268066 350.94296265  52.62885666]
627,8,[246.15739441 347.78613281  44.36329651]
628,17,[247.64083862 348.05081177  45.52212906]
629,16,[245.57862854 348.49423218  46.5903511 ]
630,9,[246.44894409 349.33911133  45.19451904]
631,1378,[259.99838257 353.92678833  60.80604172]
632,1588,[260.86346436 354.93484497  61.86524582]
633,1416,[260.00814819 356.14685059  60.54413223]
634,394,[256.16629028 354.89770508  52.60190582]
635,547,[254.33384705 356.35784912  52.71274185]
636,393,[255.26885986 355.73580933  51.54500198]
637,381,[250.17399597 350.43640137  54.09906006]
638,241,[250.36254883 349.35314941  52.58013535]
639,1050,[237.94554138 348.06192017  62.0295639 ]
640,913,[238.86567688 348.50109863  60.63647079]
641,1049,[239.70803833 347.55099487  61.87762833]
642,125,[246.90168762 346.19616699  49.57861328]
643,368,[247.04528809 351.45965576  55.11815262]
644,369,[247.47190857 348.8918457   55.72225189]
645,557,[247.95581055 350.60122681  56.9352684 ]
646,1867,[265.5788269  350.50463867  62.06496429]
647,1772,[264.6776123  351.33569336  63.0295639 ]
648,1921,[264.29446411 349.50848389  62.38308716]
649,537,[257.64649,1804,[280.25979614 471.47695923650,661,[259.3717041  350.08929443  50.78286362]
651,1505,[241.73251343 354.52423096  67.75356293]
652,1504,[243.09614563 353.11825562  68.51554871]
653,1506,[241.06745911 352.43792725  67.46596527]
654,822,[247.89349365 354.33822632  61.15184402]
655,1034,[245.92402649 356.15368652  61.99928284]
656,823,[246.08998108 354.42645264  60.1399765 ]
657,1057,[241.57327271 353.25848389  63.45300674]
658,524,[254.68919373 348.39916992  55.06301117]
659,791,[253.87207031 350.09408569  56.97007751]
660,1445,[245.39338684 343.43066406  68.23308563]
661,1446,[246.71690369 343.26593018  66.88786316]
662,1219,[245.34564209 344.84432983  65.79646301]
663,1447,[245.4594574  345.65325928  67.33509827]
664,212,[240.89315796 349.90139771  53.82717896]
665,211,[239.42712402 348.97653198  53.88636398]
666,347,[240.43522644 349.33679199  55.23322678]
667,293,[253.81996155 352.89486694  46.361866  ]
668,294,[255.32588196 352.92047119  48.21484375]
669,292,[255.05227661 350.74700928  47.86083221]
670,507,[245.93264771 345.06854248  56.40928268]
671,337,[245.96392822 346.75585938  55.79567337]
672,338,[245.15513611 347.40032959  57.00392151]
673,506,[246.57342529 346.1178894   57.4809761 ]
674,1627,[246.3841095  345.45684814  69.61339569]
675,1628,[247.47868347 343.46737671  69.34823608]
676,1448,[247.37556458 345.03961182  66.98140717]
677,1629,[248.34204102 344.81207275  68.49601746]
678,1350,[259.94158936 345.53948975  59.22137451]
679,1235,[248.38154602 344.51193237  65.07050323]
680,981,[247.42233276 344.05517578  63.06474686]
681,344,[241.76286316 351.07080078  56.65229797]
682,458,[250.50117493 341.65374756  51.36881638]
683,264,[249.06620789 343.59338379  50.38550568]
684,459,[249.00727844 342.35943604  51.54555511]
685,265,[249.82739258 342.15637207  49.891819  ]
686,604,[249.51246643 346.03646851  55.94818115]
687,769,[247.98301697 345.36514282  57.80755615]
688,605,[248.73809814 347.58129883  56.2120285 ]
689,768,[249.60040283 345.71151733  57.58310699]
690,751,[261.78875732 351.16116333  51.93790054]
691,2012,[261.4597168  349.49707031  52.58393478]
692,1141,[262.77124023 351.51657104  53.25242233]
693,1494,[243.52568054 347.43023682  68.66606903]
694,1826,[259.41149902 346.67025757  67.35813141]
695,1825,[260.54116821 348.70709229  65.93113708]
696,1948,[261.95544434 347.85913086  66.87602234]
697,1893,[260.34521484 348.22668457  67.70462799]
698,1538,[255.87794495 345.96765137  62.93184662]
699,1539,[257.08776855 346.98895264  63.67564774]
700,328,[241.98106384 342.19973755  53.13086319]
701,563,[243.23165894 340.65979004  53.67396164]
702,1550,[252.27859497 359.93994141  62.6536026 ]
703,2096,[253.52210999 361.34085083  63.35486603]
704,1551,[254.44102478 360.17077637  61.22961044]
705,306,[250.86149597 340.99603271  45.89850616]
706,1637,[247.61216736 346.31484985  68.81004333]
707,1638,[249.28123474 348.16854858  68.76916504]
708,1712,[258.34378052 350.31854248  66.46905518]
709,1711,[257.56350708 352.21414185  66.20088196]
710,1474,[257.46679688 350.81954956  64.59349823]
711,1713,[258.95776367 350.94403076  65.13930511]
712,1372,[259.15679932 361.49206543  54.4384079 ]
713,1115,[258.22149658 359.34893799  54.79222107]
714,521,[251.23391724 345.81039429  54.52471161]
715,1010,[250.85778809 345.85983276  58.67090988]
716,771,[249.29025269 346.69012451  59.97668076]
717,1009,[250.61456299 345.93136597  60.191185  ]
718,1011,[250.28488159 344.42074585  59.10927582]
719,1678,[257.01431274 358.14346313  63.11662292]
720,1746,[255.59347534 357.3821106   62.83519745]
721,247,[245.38391113 347.61953735  52.62503433]
722,248,[244.67999268 347.55419922  55.01429749]
723,1668,[251.08259583 357.64874268  66.67121887]
724,1670,[251.27210999 359.24954224  66.04532623]
725,1671,[252.0788269  357.93572998  64.55042267]
726,436,[245.32897949 349.01919556  55.90691757]
727,1209,[243.3999939  340.84924316  62.91797256]
728,1208,[244.72900391 339.73171997  63.46537399]
729,1210,[245.82681274 341.45291138  63.65957642]
730,1849,[261.96499634 351.18844604  64.13829803]
731,269,[250.18174744 345.13525391  49.31645203]
732,457,[250.76715088 343.60308838  49.85253906]
733,1618,[249.6934967  340.14733887  68.4964447 ]
734,303,[248.85742188 341.00119019  46.65761185]
735,465,[247.62606812 340.13372803  47.95125198]
736,304,[248.80912781 341.70596313  48.60792542]
737,1348,[259.88238525 348.22314453  60.28176117]
738,1456,[250.00367737 347.87896729  67.19122314]
739,1735,[250.71244812 347.17431641  69.01182556]
740,1734,[251.26786804 346.20074463  66.99178314]
741,1736,[251.66781616 347.79006958  67.32037354]
742,1395,[258.55578613 354.63381958  61.28041458]
743,1394,[256.81103516 354.15353394  60.63034821]
744,1582,[257.67675781 356.00918579  61.94269562]
745,1622,[251.59509277 340.16537476  66.99195099]
746,1839,[252.52297974 341.665802    67.60758209]
747,1937,[253.17739868 340.71148682  66.11160278]
748,1621,[251.84231567 341.55117798  65.68799591]
749,1822,[260.26901245 351.15203857  68.28933716]
750,1823,[260.25790405 349.42645264  69.10726166]
751,1821,[258.57644653 349.99691772  69.61087799]
752,1810,[256.19845581 358.82000732  66.00062561]
753,1835,[254.13305664 356.56951904  66.41323853]
754,1836,[256.00418091 356.46322632  65.58969116]
755,199,[242.13356018 343.0378418   50.9720993 ]
756,200,[241.09700012 343.4413147   52.48285294]
757,109,[241.62324524 345.31112671  52.27345657]
758,1256,[246.42601013 355.69677734  64.05506134]
759,1320,[247.24002075 353.82119751  65.22898102]
760,1559,[247.18875122 355.81973267  65.61086273]
761,1841,[255.15258789 343.40478516  68.18570709]
762,1840,[253.74900818 341.28225708  69.07496643]
763,1842,[254.32662964 341.89562988  67.36533356]
764,1730,[253.05395508 343.19796753  68.46501923]
765,1043,[237.84884644 349.67269897  63.28516388]
766,1334,[238.70326233 350.33578491  64.96291351]
767,1042,[240.39573669 349.6295166   63.95246887]
768,1044,[239.43884277 350.91439819  62.49238205]
769,1683,[257.80541992 359.12097168  61.91928864]
770,1136,[250.20599365 354.29373169  60.56453323]
771,1135,[251.29696655 354.54522705  59.17794037]
772,1137,[251.13624573 355.62399292  60.39244461]
773,902,[249.38838196 354.652771    59.2048645 ]
774,1589,[258.83520508 353.59628296  62.53846741]
775,1403,[255.04823303 354.21362305  61.45829773]
776,1468,[254.4896698  356.60903931  61.9070015 ]
777,1296,[251.38096619 341.67855835  60.51982498]
778,1440,[251.48384094 340.62234497  61.77717209]
779,1295,[248.80732727 340.74981689  61.99372482]
780,1441,[253.90719604 340.35714722  62.64025497]
781,1961,[252.73420715 339.1583252   62.03810501]
782,832,[242.06777954 346.71862793  59.95720673]
783,975,[242.09332275 345.21728516  62.05026245]
784,970,[242.0164032  346.94537354  62.07274628]
785,1315,[253.43762207 341.98950195  61.66133118]
786,1268,[253.60075378 356.43978882  59.5827446 ]
787,1267,[251.9649353  357.22879028  59.8780632 ]
788,1138,[251.79338074 355.53161621  58.03047943]
789,433,[239.34773254 352.72998047  55.76829529]
790,595,[240.27705383 352.61685181  57.57421875]
791,432,[238.77049255 351.22671509  56.35408783]
792,1099,[255.27285767 352.31417847  58.90416336]
793,1098,[256.91329956 352.4078064   59.88536835]
794,1648,[253.94558716 350.97644043  67.82107544]
795,1781,[254.46185303 348.55081177  68.60751343]
796,1782,[253.56958008 350.05755615  69.20310974]
797,1647,[252.9203949  349.85882568  67.0848465 ]
798,886,[262.1673584  353.23287964  50.26162338]
799,887,[261.18347168 354.31481934  49.43898773]
800,1144,[262.04129028 354.70794678  51.39496231]
801,888,[260.84552002 353.03875732  51.90082169]
802,694,[250.12988281 338.09469604  47.58097076]
803,468,[249.54388428 339.46722412  49.79266357]
804,1008,[251.3341217  347.23422241  60.5916481 ]
805,1007,[252.21452332 345.73339844  59.93606567]
806,1241,[252.01278687 345.46173096  61.8573494 ]
807,431,[237.55734253 351.12677002  55.09551239]
808,253,[240.0181427  351.35650635  54.65682983]
809,51,[247.16479492 344.83312988  45.38352966]
810,38,[247.83547974 346.45925903  44.50102997]8811,52,[247.38026428 345.30160522  46.95292282]
812,53,[248.873703   346.57403564  46.28948212]
813,1710,[255.66209412 352.1902771   65.38967896]
814,1816,[256.46478271 353.22506714  67.54912567]
815,1601,[238.48231506 353.46606445  65.53901672]
816,1847,[261.76715088 353.29647827  65.76248932]
817,1848,[262.81869507 353.03311157  64.59375763]
818,1850,[260.09817505 352.04571533  64.99040222]
819,754,[258.54934692 350.25457764  53.906353  ]
820,880,[258.50924683 351.58056641  55.12886047]
821,1630,[249.05065918 343.10098267  67.36820221]
822,73,[243.47549438 348.49215698  50.04805756]
823,74,[242.31202698 346.4586792   50.35471344]
824,127,[244.84809875 346.54043579  51.41624832]
825,128,[242.69511414 348.09759521  51.74601746]
826,1614,[245.69613647 341.5748291   67.10824585]
827,1058,[239.37460327 353.03695679  62.05762482]
828,1059,[240.87208557 354.39541626  62.20261765]
829,1017,[250.0843811  345.72406006  61.99260712]
830,1290,[249.38442993 345.83520508  63.9805603 ]
831,1292,[250.56311035 344.59854126  63.83536148]
832,1657,[248.46836853 354.0501709   67.86286926]
833,1656,[249.83078003 352.89764404  68.40805054]
834,1533,[250.95314026 342.37811279  64.59596252]
835,1534,[252.24404907 344.12796021  64.60572052]
836,926,[246.28010559 337.32293701  54.37337494]
837,927,[245.00917053 338.45651245  55.48870087]
838,1619,[248.52958679 341.83740234  69.01970673]
839,1620,[250.95883179 342.26608276  66.86074066]
840,143,[248.0141449  343.02053833  45.98551178]
841,543,[254.88314819 353.71499634  53.99573898]
842,978,[246.48051453 346.98007202  62.65068054]
843,977,[245.02412415 345.38928223  62.53190994]
844,1220,[244.96865845 346.43423462  64.40540314]
845,979,[246.39453125 345.17739868  63.92006302]
846,19,[247.77867126 349.27133179  46.97295761]
847,10,[247.86567688 350.65533447  45.30622864]
848,20,[248.235672   351.13699341  47.135746  ]
849,18,[249.12043762 349.22158813  45.25166702]
850,204,[245.43507385 344.82769775  51.38936615]
851,205,[244.80805969 344.36526489  52.9197464 ]
852,419,[246.7084198  344.31686401  53.07370377]
853,1021,[244.78852844 349.79013062  63.44974136]
854,1227,[243.74690247 349.66415405  64.92182922]
855,1228,[243.90516663 347.94100952  64.26939392]
856,816,[255.16169739 354.35153198  56.12153244]
857,815,[253.69378662 355.54397583  56.44768143]
858,817,[254.09602356 353.11965942  57.40153503]
859,642,[253.73219299 353.42025757  55.41126251]
860,2029,[249.34712219 360.29351807  67.46755219]
861,1665,[248.1640625  358.92367554  68.08234406]
862,1666,[247.97686768 360.27963257  67.61083984]
863,1667,[249.6769104  359.07229614  66.28645325]
864,885,[261.68643188 352.4369812   48.95581436]
865,669,[259.30450439 353.92953491  49.33644867]
866,1803,[253.14279175 361.01538086  66.06687927]
867,1804,[254.67221069 361.2300415   65.13555908]
868,1805,[254.51051331 359.84439087  66.21424103]
869,423,[245.8278656  339.35784912  50.68111801]
870,526,[256.12338257 349.80297852  53.7977562 ]
871,1704,[255.43243408 347.32284546  66.83405304]
872,1828,[256.79510498 348.66177368  68.23019409]
873,1829,[255.13322449 349.08007812  67.03101349]
874,1899,[256.85574341 342.28045654  70.88705444]
875,1902,[258.1572876  341.75485229  70.84786224]
876,1898,[256.64541626 340.47741699  70.54766846]
877,1906,[257.34963989 341.7678833   69.00734711]
878,1495,[246.01052856 347.61001587  68.26810455]
879,1587,[261.68075562 357.21774292  60.50484085]
880,1586,[260.99679565 357.17248535  62.44197845]
881,1399,[256.76446533 357.90795898  59.17866516]
882,1200,[257.90969849 357.99798584  57.62043762]
883,60,[251.50125122 351.50692749  47.44525909]
884,61,[249.76599121 350.69812012  47.58092499]
885,62,[251.55503845 350.94760132  45.98093033]
886,59,[250.94818115 349.38293457  47.16329193]
887,336,[244.23959351 346.35778809  56.10020065]
888,335,[244.11862183 344.7510376   56.06981277]
889,951,[238.94696045 353.46774292  59.51560211]
890,1020,[245.15914917 348.10662842  63.022892  ]
891,925,[245.66067505 349.40698242  62.04909134]
892,189,[237.54403687 351.14727783  49.21543884]
893,70,[239.55880737 352.34890747  47.71068192]
894,68,[239.44491577 351.40435791  49.38490295]
895,313,[254.11236572 347.10498047  44.08248901]
896,149,[252.62507629 347.11959839  46.08057404]
897,150,[253.91012573 349.56033325  45.46416855]
898,314,[254.28440857 346.71298218  45.73165131]
899,1426,[242.69927979 350.62533569  68.445755  ]
900,1427,[240.76670837 350.11325073  67.04109192]
901,1266,[251.20729065 358.50201416  61.25566101]
902,1552,[253.2253418  358.64416504  61.41188812]
903,1553,[253.14009094 357.27563477  62.04875183]
904,969,[243.38008118 346.71334839  62.98993301]
905,1217,[242.00714111 346.90579224  64.48062897]
906,1216,[241.94958496 345.43301392  63.69855881]
907,1308,[256.51165771 344.4848938   58.58533478]
908,1100,[256.85064697 344.98617554  57.05738068]
909,1079,[257.28463745 348.59588623  58.42640305]
910,1355,[256.48754883 349.65927124  60.87807465]
911,1632,[243.37156677 349.02227783  68.81812286]
912,1939,[248.40197754 336.82803345  64.15626526]
913,1974,[250.02114868 337.34741211  62.3662529 ]
914,1598,[248.45678711 338.73519897  63.88697052]
915,1531,[244.28335571 350.06332397  69.30161285]
916,1114,[259.19567871 360.75549316  52.53947449]
917,2076,[257.61587524 360.97198486  53.51586914]
918,124,[248.03036499 347.94580078  49.93094254]
919,82,[247.57710266 347.22344971  48.35974503]
920,213,[238.50749207 351.45095825  53.52532959]
921,214,[238.27201843 349.86950684  53.11765289]
922,164,[244.46072388 350.96936035  52.64414978]
923,403,[257.15722656 355.29891968  48.02378082]
924,404,[256.32824707 353.93170166  46.73464966]
925,402,[256.83837891 352.70751953  48.62465286]
926,1356,[256.91091919 347.4105835   61.39036179]
927,1541,[256.86849976 345.62167358  61.479599  ]
928,1428,[240.76815796 348.24203491  66.52489471]
929,548,[253.39451599 355.2774353   54.57085419]
930,549,[255.50343323 355.80853271  54.46518326]
931,476,[255.36994934 345.93460083  46.95297623]
932,315,[253.96896362 345.08538818  46.1246109 ]
933,477,[254.51994324 344.91281128  47.96092987]
934,1530,[244.50119019 351.64923096  69.26215363]
935,1322,[245.10398865 350.70089722  66.966362  ]
936,1377,[259.81564331 353.47937012  59.13128281]
937,348,[241.77766418 349.28994751  56.07056427]
938,140,[248.21865845 345.10421753  48.3625412 ]
939,141,[249.30014038 347.05685425  48.38312912]
940,142,[248.75558472 346.1867981   50.01461029]
941,1778,[252.33889771 344.93518066  70.87865448]
942,1876,[253.20870972 347.04937744  70.96691132]
943,1779,[253.84631348 345.05523682  69.13418579]
944,1780,[252.90867615 347.01052856  68.7926178 ]
945,699,[255.16427612 342.83731079  51.28541565]
946,517,[252.7966156  344.61959839  55.30113602]
947,516,[250.6121521  343.57772827  55.2888298 ]
948,586,[237.4561615  347.681427    56.51010895]
949,430,[238.65222168 348.32336426  55.5738678 ]
950,587,[239.37237549 347.17602539  56.51053619]
951,417,[245.48179626 343.17504883  53.95824814]
952,418,[245.151474   344.86053467  54.5277977 ]
953,509,[247.10290527 343.87536621  55.11742401]
954,870,[246.53239441 343.80145264  57.41566086]
955,510,[246.78973389 342.27423096  55.90901184]
956,511,[247.64875793 344.41433716  56.49137878]
957,1761,[250.91856384 360.63916016  64.92842865]
958,1045,[241.35173035 349.49188232  62.11410904]
959,422,[246.17276001 340.50473022  48.92321396]
960,300,[245.13043213 341.78546143  48.66073608]
961,301,[247.00030518 342.36358643  49.38153839]
962,421,[245.99006653 341.73190308  50.70149231]
963,569,[251.15678406 339.00415039  50.67102814]
964,1251,[249.53646851 351.57800293  63.60497284]
965,1027,[250.4196167  350.70410156  61.97010803]
966,1026,[248.56602478 350.47842407  62.89397049]
967,1250,[250.11141968 349.32382202  63.45483398]
968,673,[260.75592041 351.60406494  47.40959549]
969,674,[259.64068604 350.39266968  46.1111908 ]
970,491,[258.37213135 351.1131897   47.00017929]
971,151,[253.96047974 349.37194824  47.35801315]
972,101,[252.04981995 349.46435547  45.85749435]
973,104,[245.51734924 349.97265625  49.40657425]
974,28,[244.95068359 351.58340454  47.68892288]
975,29,[244.20452881 350.28503418  48.42506027]
976,299,[244.42565918 341.0557251   50.19422913]
977,298,[245.0708313  343.01779175  49.94338226]
978,1404,[253.52557373 351.50592041  63.11004639]
979,184,[250.48182678 348.25177002  48.48460388]
980,380,[251.86813354 350.99047852  54.09056854]
981,607,[252.23942566 349.6484375   56.57803726]
982,609,[252.82789612 351.14559937  56.06349182]
983,1783,[253.24098206 351.32617188  70.28862762]
984,1784,[253.26954651 349.04870605  70.79310608]
985,1878,[254.66593933 349.95446777  70.50045013]
986,918,[236.06567383 351.2852478   59.60455704]
987,985,[245.03318787 341.41891479  61.6970253 ]
988,165,[245.00875854 349.48757935  52.74799347]
989,574,[247.58004761 338.63723755  49.21843719]
990,575,[247.68785095 339.57687378  50.8429985 ]
991,1833,[254.32473755 354.14117432  69.14507294]
992,478,[255.89993286 345.67419434  48.45555115]
993,531,[256.14404297 345.60241699  50.29961014]
994,1390,[256.30917358 350.89572144  62.08808517]
995,1096,[256.11752319 351.0223999   59.86331177]
996,1391,[257.20565796 351.24304199  60.90638733]
997,1385,[258.08529663 352.48522949  60.96863937]
998,1877,[255.18273926 348.10653687  70.81613922]
999,1785,[253.12886047 348.42391968  69.38396454]
1000,2016,[242.00750732 350.89193726  44.76160049]
1001,2017,[240.82899475 351.63803101  45.18458939]
1002,878,[259.11566162 352.20822144  52.78939438]
1003,879,[259.55487061 353.06903076  54.26417542]
1004,644,[257.41479492 353.78387451  54.51842499]
1005,796,[258.80618286 354.47607422  55.46408081]
1006,1659,[247.10562134 354.74697876  69.25626373]
1007,1660,[247.68118286 356.75552368  68.74510956]
1008,1560,[246.80731201 355.19241333  67.20445251]
1009,1661,[248.66772461 355.83959961  67.49378204]
1010,945,[250.70899963 336.71386719  48.07378769]
1011,781,[250.97898865 351.87750244  56.82096481]
1012,1134,[252.30860901 353.38168335  58.36841583]
1013,460,[249.15612793 340.52001953  51.47190857]
1014,1699,[258.49038696 348.53869629  65.22908783]
1015,1556,[251.26446533 358.53015137  63.25488281]
1016,1715,[258.43069458 354.4755249   65.0537796 ]
1017,1695,[259.83023071 352.76437378  63.56838989]
1018,1726,[253.82717896 343.79110718  65.61603546]
1019,1452,[252.15307617 344.37158203  66.43655396]
1020,866,[244.59361267 346.70632935  59.68523026]
1021,825,[243.79023743 351.91729736  61.68745804]
1022,1037,[243.94973755 352.49621582  63.75018311]
1023,824,[245.82798767 353.2387085   61.8147583 ]
1024,1039,[244.7980957  351.91033936  65.14313507]
1025,1484,[265.01727295 352.12356567  59.12427139]
1026,1483,[262.99240112 351.73599243  59.8883934 ]
1027,1382,[262.62084961 351.58084106  58.26585007]
1028,375,[247.58508301 356.0411377   54.34009552]
1029,639,[248.68612671 357.09487915  56.00565338]
1030,638,[248.10443115 354.72467041  55.39957809]
1031,376,[249.27075195 355.97390747  54.26887894]
1032,1884,[257.11331177 345.09393311  70.93856049]
1033,1859,[256.11514282 345.38262939  68.87943268]
1034,1908,[257.09713745 343.68493652  68.52294159]
1035,553,[249.79850769 355.16238403  55.65233994]
1036,819,[250.21310425 355.09347534  57.87379837]
1037,554,[247.8692627  354.56335449  57.14429855]
1038,820,[248.85165405 356.30606079  57.66163635]
1039,339,[245.78552246 348.77078247  57.50772858]
1040,505,[246.2724762  346.92984009  59.70985413]
1041,1769,[262.81948853 351.50735474  62.87745667]
1042,590,[239.41993713 349.56665039  59.46547318]
1043,949,[239.89451599 347.61154175  59.65463638]
1044,1702,[256.37442017 345.14782715  65.11220551]
1045,1311,[255.32550049 348.36801147  59.8307991 ]
1046,1312,[253.68971252 346.76464844  60.40262222]
1047,1310,[255.39434814 346.62649536  60.01815414]
1048,1777,[252.1829071  342.95895386  70.51286316]
1049,1866,[253.93685913 343.46310425  70.83670807]
1050,2078,[258.18917847 362.49151611  58.78484726]
1051,1766,[257.71383667 362.35385132  60.46551895]
1052,1578,[257.02563477 360.76907349  59.79210281]
1053,1579,[256.4755249  362.23300171  59.13726044]
1054,1857,[258.09295654 347.23101807  68.75650024]
1055,1885,[258.04827881 345.3182373   69.14509583]
1056,1858,[256.42059326 346.0239563   67.32897186]
1057,1324,[243.19541931 351.32254028  65.38385773]
1058,535,[256.70422363 348.63635254  51.31959152]
1059,536,[257.27398682 349.37817383  52.68566513]
1060,732,[253.91137695 340.42648315  54.3888855 ]
1061,733,[253.5100708  342.48370361  55.48796844]
1062,1633,[244.99459839 348.60910034  69.58607483]
1063,1597,[247.34765625 336.84985352  62.28865814]
1064,1283,[245.9347229  338.32546997  62.81685638]
1065,1284,[248.39535522 339.03097534  62.30607986]
1066,1285,[247.55569458 338.20407104  61.05501175]
1067,1802,[253.06741333 359.79064941  66.81411743]
1068,1946,[257.16635132 342.52056885  58.65177155]
1069,1938,[255.73147583 340.51220703  58.45511627]
1070,1832,[254.36381531 352.71942139  69.69047546]
1071,1831,[255.31787109 351.45269775  69.96527863]
1072,1485,[263.99377441 353.89535522  57.89944077]
1073,1095,[255.69537354 349.15884399  58.38792038]
1074,1097,[257.43771362 350.50402832  58.62392044]
1075,66,[243.8117218  351.60473633  50.50191498]
1076,163,[245.39715576 350.81771851  51.05182266]
1077,2108,[245.12077332 353.08337402  49.8132019 ]
1078,786,[249.80162048 351.18862915  58.94889069]
1079,630,[247.87149048 351.54006958  58.64765549]
1080,1817,[254.65847778 352.81600952  67.79397583]
1081,350,[244.01329041 348.49093628  56.81391907]
1082,351,[242.78968811 349.92660522  57.8741684 ]
1083,349,[242.13771057 348.24047852  57.29816055]
1084,1631,[246.91047668 342.05114746  68.32844543]
1085,735,[256.11410522 344.67999268  53.52584076]
1086,736,[257.54367065 345.38308716  54.62180328]
1087,1066,[256.62487793 343.95678711  55.6808548 ]
1088,664,[255.74310303 345.92556763  52.56390381]
1089,498,[255.58528137 343.02249146  44.88928223]
1090,706,[257.41311646 342.83938599  44.98686218]
1091,1731,[251.54238892 344.9392395   69.22570801]
1092,312,[252.93862915 345.76339722  44.30644989]
1093,1168,[248.92959595 349.29812622  61.83048248]
1094,774,[247.12660217 348.61547852  61.1460495 ]
1095,773,[248.38391113 348.31088257  59.80255508]
1096,950,[240.78344727 353.69058228  59.49731827]
1097,594,[239.48298645 351.34899902  58.91108704]
1098,1158,[261.03445435 353.07452393  55.75075912]
1099,810,[258.27148438 359.07080078  52.66275024]
1100,1005,[252.42976379 342.59173584  58.61431503]
1101,1084,[256.71520996 353.38708496  58.63843155]
1102,1393,[255.97557068 355.44525146  59.93003082]
1103,1392,[258.26324463 353.89938354  59.80358887]
1104,147,[251.30593872 346.58789062  48.38415146]
1105,772,[249.23936462 347.31655884  57.86562347]
1106,562,[247.61799622 346.95962524  58.53154755]
1107,906,[244.19490051 353.58779907  61.10143661]
1108,1035,[245.25552368 354.71057129  62.00290298]
1109,219,[241.49453735 348.15994263  53.7462616 ]
1110,218,[243.10307312 346.87039185  53.025177  ]
1111,129,[242.20240784 349.27166748  52.77508926]
1112,939,[253.3868103  338.29324341  49.88009644]
1113,231,[249.71659851 354.1517334   52.3313446 ]
1114,139,[246.86076355 344.02362061  48.75606918]
1115,263,[247.34286499 343.72564697  50.38891983]
1116,166,[248.50143433 343.4213562   48.74044037]
1117,1405,[254.26861572 349.99734497  60.43091202]
1118,1364,[262.93533325 355.73104858  57.73306656]
1119,1365,[262.38845825 356.6427002   56.5079422 ]
1120,1366,[263.24084473 354.96463013  56.0357132 ]
1121,1073,[259.2098999  346.29144287  54.25065994]
1122,1074,[257.96911621 346.61437988  56.05082321]
1123,1978,[258.30664062 344.70779419  56.34780884]
